Jo?o Filipe Iria Santos Moutinho,1.0,43.8
Matthew Longstaff,1.0,14.8
Jordan Henderson,1.0,17.7
Matt Targett,1.0,44.7
Brandon Williams,1.0,23.3
Harvey Barnes,1.0,5.1
Pascal Gro?,1.0,2.5
Andros Townsend,1.0,15.2
Billy Sharp,1.0,0.5
Leander Dendoncker,1.0,1.3
Onel Hern?ndez,1.0,1.0
Jannik Vestergaard,1.0,0.7
Joelinton C?ssio Apolin?rio de Lira,1.0,24.3
Mark Noble,1.0,12.5
Gylfi Sigurdsson,1.0,0.8
Alexander Tettey,1.0,5.2
Kenny McLean,1.0,1.1
Tom Davies,1.0,2.1
Andreas Pereira,1.0,36.1
Kyle Walker,1.0,28.1
Dennis Srbeny,1.0,0.0
Jonathan Castro Otto,1.0,22.9
Nathan Redmond,1.0,23.5
Allan Saint-Maximin,1.0,11.5
Victor Lindel?f,1.0,1.2
Chris Mepham,1.0,1.2
Cenk Tosun,1.0,0.3
Michael Keane,1.0,0.5
Callum Robinson,1.0,4.0
Michail Antonio,1.0,11.7
Adam Lallana,1.0,1.3
Javier Hern?ndez Balc?zar,1.0,1.2
Jonny Evans,1.0,0.6
Jamaal Lascelles,1.0,0.2
